url,name,designation,college,department,research_area,research_area_details,experience,institution_name,,,,,,,,,,
https://nitt.irins.org/profile/92999,Dr Sunandan Sarkar,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Physical Chemistry,"Physical Chemistry, Theoretical and Computational Chemistry and Electronic Structure of Materials","[""Assistant Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54083,Prof Sambandam Anandan,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Multidisciplinary Chemistry,"Nanomaterials, Sonochemistry, Electrochemistry, Dye-sensitized Solar Cells, Organic Solar Cells, Energy Storage applications, Fuel Cell Catalysts, Photosplitting of water molecules, Photocatalysis, Electrochemical and Fluorescence Sensors, Biomolecule Interaction Studies.","[""Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli"", ""Associate Professor | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/93001,Dr Ganesh Chandra Nandi,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Organic Chemistry,"Metal catalyzed organic transformation towards the synthesis of bio-active molecules, Asymmetric catalysis, Green synthesis, Heterocyclic chemistry","[""Assistant Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92995,Dr A Sreekanth,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Inorganic and Nuclear Chemistry,"Inorganic Chemistry, Organometallic Chemistry, Bio Inorganic Chemistry Corrosion","[""Associate Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54118,Prof S Velmathi,Professor,"National Institute of Technology, Tiruchirappalli",Department of Chemistry,Organic Chemistry,Synthetic Organic Chemistry.,"[""Professor | Department of Chemistry | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/93027,Dr Nisha  Radhakrishnan,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Remote Sensing,"Remote Sensing, Geographic Information System, Global Positioning System, Surveying, Advanced Surveying, Geodesy","[""Associate Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/148225,Dr Aneesh Mathew,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,"Water Resources Engineering, GIS and Remote Sensing Applications in water resources and climate change, Modeling for urban planning applications, Urban heat island, and climate change and Air Pollution","[""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/54175,Dr S Moses Santhakumar,Professor (HAG),"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,"Intelligent Transportation Systems, Network Analysis, Computer Simulation, Traffic Flow Theory, Traffic Safety, Expert Systems","[""Professor (HAG) | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli"", ""Professor | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | National Institute of Technology, Tiruchirappalli"", ""Lecturer | National Institute of Technology, Tiruchirappalli"", ""Senior Project Engineer | Indian Institute of Technology Madras"", ""Project Associate | Indian Institute of Technology Madras""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/93031,Dr J Karthikeyan,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,Structural Engineering - Concrete Materials,"[""Associate Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/145255,Dr Mashudha Sulthana,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,Civil Engineering,"[""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/147832,Dr Greegar George,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,"Structural Engineering, Probabilistic modeling, Structural reliability","[""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/93021,Ms R Arachelvi,,NIT Tiruchirappalli,Department of Civil Engineering,Civil Engineering,Advanced Construction Technology,"[""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/149435,Dr Prabha Mohandoss,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,"Structural performance of prestressed concrete systems, Mechanical characteristics of construction materials, Repair and strengthening of conventionally reinforced and prestressed concrete structures, Effect of corrosion on structural performance of reinforced concrete structures","[""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/93025,Prof K Baskar,Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,Structural Engineering,"[""Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/146889,Dr Kamal Krishna Bera,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,"Structural Dynamics, Vibration Control, Flutter of Cable Bridges, Wind Turbine, Wave Propagation","[""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/315869,Dr J. Sevugan Rajkannu,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Construction and Building Technology,"Structural Engineering, Thin-walled steel & metal structures, High strength steel members, Stability of structures, Composite structures, Structural Health Monitoring, Finite element analysis, Structural glass & Façade systems","[""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/136258,Dr Laiju A R,Assistant Professor (Grade-II),"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,"water and wastewater treatment
Advanced oxidation Process
Solid waste management
Rural development","[""Assistant Professor (Grade-II) | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | Department of Civil Engineering | National Institute of Technology, Uttarakhand""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/60698,Dr R Gandhimathi,Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Environmental Engineering,"Contaminant Transport Modeling, Solid Waste Management, Water and Wastewater Treatment, Leachate Treatment and Advanced Oxidation Processes","[""Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli"", ""Associate Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor (Grade-I) | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor (Grade-II) | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli"", ""Lecturer | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/93019,Prof K Muthukkumaran,Professor,"National Institute of Technology, Tiruchirappalli",Department of Civil Engineering,Civil Engineering,Geotechnical Engineering,"[""Professor | Department of Civil Engineering | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
